"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14"
"36" -0.00247581759935866 -0.00484837409940681 -5.26228890985915e-05 -2.86799455346013 -1.13590905800749e+22 -2.46055680884659e+20 -2256940194749728512 -11416120825165640 -34634782623459.6 -63798978090.7525 -67758782.4495555 -34658.8265122517 -34.4902359586276 -23.6228498137209
"37" -0.002120653754747 -0.0041612676802321 -6.39683510512608e-05 -2.8763733106857 -1.89976507266121e+22 -3.56120291336255e+20 -2830671005190934016 -12430142416412802 -32823082253591.6 -52849413840.8337 -49501234.1399391 -23036.2925249844 -28.1040294378585 -23.4206953297525
"38" -0.001500275661445 -0.00452204445776805 0.0016315728030191 -1.24679309700824 3.29305949034992e+21 39969709455695249408 161959613551791904 174860258935146 -458477590645.054 -1384048046.92662 -1129846.63629619 -932.595102178539 -33.1697213296549 -26.6582479576243
"39" -0.00140920052348526 -0.00345510745308392 0.000655003713227686 -1.79461598799507 2.49291371148983e+22 2.98164035231928e+20 1403754175017465344 3242828553364311 3481607191062.1 412537817.585447 -2746128.08653702 -2757.39294056597 -26.7829381561635 -23.4173951228826
"40" -0.002120653754747 -0.0041612676802321 -6.39683510512608e-05 -2.8763733106857 -1.89976507266121e+22 -3.56120291336255e+20 -2830671005190934016 -12430142416412802 -32823082253591.6 -52849413840.8337 -49501234.1399391 -23036.2925249844 -28.1040294378585 -23.4206953297525
"41" -0.00105827607646637 -0.00262670502622416 0.000503192218444483 -1.76724869165556 1.33020897763275e+23 1.25153958256636e+21 4675746823441768448 8676887381128607 7689110719263.77 1227491765.90265 -3271221.84028106 -2698.37027126195 -20.0579045402529 -23.2131689387706
"42" 0.00175988181506125 -0.00577069188032616 0.0113075248624766 0.517720509614674 6011054599249012736 -199100876413616128 2080683601694604 -3270475923522.55 -75589642562.6507 471420854.231589 -721343.975376642 -4404.27899035034 -22.3462377865346 -33.9517951675949
"43" -0.002120653754747 -0.0041612676802321 -6.39683510512608e-05 -2.8763733106857 -1.89976507266121e+22 -3.56120291336255e+20 -2830671005190934016 -12430142416412802 -32823082253591.6 -52849413840.8337 -49501234.1399391 -23036.2925249844 -28.1040294378585 -23.4206953297525
"44" -0.002120653754747 -0.0041612676802321 -6.39683510512608e-05 -2.8763733106857 -1.89976507266121e+22 -3.56120291336255e+20 -2830671005190934016 -12430142416412802 -32823082253591.6 -52849413840.8337 -49501234.1399391 -23036.2925249844 -28.1040294378585 -23.4206953297525
"45" 0.0106497629916321 0.00239737374561274 0.0177326909985161 4.17490743340343 -29904470697016811520 2588988667298216960 -95936561660650032 1985742124437968 -25081088078374.4 197647507556.345 -947423713.286507 2519638.90627351 -2784.00254503869 -37.4963361797453
"46" -0.00160859418192981 -0.0198044249463726 0.0179521098949884 -0.230036535871167 -863128489155.406 206939548235.285 -18705594108.0286 748797706.891299 -10635227.0805105 16642.9797107481 13896.599714475 -3273.9267012309 -22.2597690986044 -32.6739598496895
"47" 0.00181774648747652 -0.00913004371750037 0.0171778399231768 0.351980624380129 12323679007047058 -754972078347275 15930328302889.8 -101370457083.873 -950611323.382001 17180854.361568 -70150.9798160241 -2053.16107469765 -34.7510023150509 -29.475213461261
"48" -0.00105827607646499 -0.00262670502622366 0.000503192218444926 -1.76724869143978 1.33020897079777e+23 1.25153957638205e+21 4675746801427731456 8676887342702765 7689110688180.04 1227491763.40339 -3271221.82588278 -2698.3702613206 -20.0579045379359 -23.2131689387705
"49" -0.00283713607787116 -0.0054785273455396 -0.000100516593283165 -2.94472034632801 -6.77619120182516e+21 -1.6662064602678e+20 -1736637069649728768 -9996343602892662 -34594209729356.1 -73002661636.5019 -89650219.5165118 -54536.4603718479 -45.1883271630291 -23.8248711375205
"50" -0.0015974536691831 -0.00387284061053642 0.000726830134098155 -1.82051485582718 1.27165636190491e+22 1.76921976691341e+20 977986378303118080 2685869249362621 3521182075059.42 833185046.015682 -3246546.87899547 -3953.46806760549 -33.8952487318743 -23.6241142365133
"51" -0.00105827607646637 -0.00262670502622416 0.000503192218444483 -1.76724869144257 1.33020897763275e+23 1.25153958256636e+21 4675746823441768448 8676887381128607 7689110719263.77 1227491765.90265 -3271221.84028106 -2698.37027126195 -20.0579045402529 -23.2131689387706
